Nome;Idade (dias);PRs;Releases;Última Atualização (dias);Linguagem;Fechamento de Issues (%)
freeCodeCamp;3713;24372;0;0;TypeScript;99.10%
free-programming-books;4152;6787;0;0;HTML;97.50%
awesome;3879;661;0;0;N/A;96.54%
build-your-own-x;2481;140;0;0;Markdown;74.11%
public-apis;3260;1872;0;0;Python;92.48%
coding-interview-university;3183;415;0;0;N/A;89.63%
developer-roadmap;2901;3339;1;0;TypeScript;94.83%
system-design-primer;2918;199;0;0;Python;27.27%
996.ICU;2160;1068;0;0;N/A;N/A
awesome-python;3892;543;0;0;Python;N/A
react;4292;11363;103;0;JavaScript;94.24%
project-based-learning;2873;182;0;0;N/A;41.05%
awesome-selfhosted;3554;2393;1;0;N/A;100.00%
vue;4226;1136;249;0;TypeScript;96.47%
Python;3143;2913;0;0;Python;95.89%
javascript-algorithms;2527;302;0;0;JavaScript;63.76%
linux;4919;10;0;0;C;N/A
tensorflow;3395;29271;213;0;C++;98.00%
You-Dont-Know-JS;4116;367;0;0;N/A;91.35%
CS-Notes;2566;374;0;0;N/A;75.17%
ohmyzsh;5657;3289;0;0;Shell;97.26%
computer-science;3947;281;0;0;N/A;97.82%
AutoGPT;709;2589;42;0;Python;94.72%
bootstrap;4956;8845;89;0;JavaScript;97.79%
flutter;3640;40931;7;0;Dart;87.46%
vscode;3460;31343;156;0;TypeScript;95.45%
gitignore;5220;1575;0;0;N/A;N/A
Python-100-Days;2550;13;0;0;Jupyter Notebook;17.27%
the-book-of-secret-knowledge;2436;122;0;0;N/A;N/A
the-art-of-command-line;3566;317;0;0;N/A;53.54%
JavaGuide;2483;1136;0;0;Java;93.94%
stable-diffusion-webui;915;1871;27;0;Python;70.28%
javascript;4495;811;0;0;JavaScript;92.95%
transformers;2308;14617;180;0;Python;94.05%
awesome-go;3884;3396;0;0;Go;99.25%
youtube-dl;5228;1639;341;0;Python;86.17%
next.js;3061;20916;1000;0;JavaScript;87.97%
ollama;607;2007;115;0;Go;77.37%
fucking-algorithm;1830;238;1;0;Markdown;99.55%
go;3840;1;0;0;Go;86.04%
30-seconds-of-code;2642;821;11;0;JavaScript;100.00%
tech-interview-handbook;3154;466;0;0;TypeScript;65.42%
Microsoft-Activation-Scripts;1867;6;19;0;Batchfile;99.65%
awesome-chatgpt-prompts;810;158;0;0;HTML;N/A
react-native;3697;886;375;0;C++;97.78%
scrcpy;2650;109;44;0;C;57.73%
electron;4334;21571;1000;0;C++;95.83%
PowerToys;2124;5082;109;0;C#;81.58%
kubernetes;3913;60734;722;0;Go;95.96%
free-programming-books-zh_CN;4128;282;3;0;N/A;N/A
d3;5262;491;194;0;Shell;99.60%
node;3741;9759;429;0;JavaScript;91.29%
hello-algo;841;900;9;0;Java;92.89%
axios;3840;935;87;0;JavaScript;88.21%
three.js;5450;13705;165;0;JavaScript;96.71%
create-react-app;3142;1949;83;0;JavaScript;78.37%
TypeScript;3903;14547;206;0;TypeScript;86.76%
deno;2475;12379;312;0;Rust;83.78%
nodebestpractices;2717;765;0;0;Dockerfile;87.38%
rust;5364;61343;135;0;Rust;82.36%
yt-dlp;1580;2518;104;0;Python;82.67%
langchain;859;13208;806;0;Jupyter Notebook;95.79%
HelloGitHub;3216;17;51;0;Python;93.02%
terminal;2752;4029;128;0;C++;87.81%
angular;3810;3698;407;0;TypeScript;94.74%
material-ui;3841;19894;521;0;TypeScript;91.55%
godot;4067;36267;58;0;C++;79.40%
ant-design;3592;14992;690;0;TypeScript;96.09%
excalidraw;1878;3558;13;0;TypeScript;56.82%
clean-code-javascript;3010;149;0;0;JavaScript;69.66%
free-for-dev;3628;2647;0;0;HTML;N/A
papers-we-love;4087;434;0;0;Shell;100.00%
java-design-patterns;3850;1458;0;0;Java;86.73%
frp;3351;654;101;0;Go;98.43%
iptv;2291;6492;0;0;JavaScript;99.00%
thefuck;3608;481;17;0;Python;63.22%
puppeteer;2845;5144;494;0;TypeScript;96.40%
tauri;2051;4802;1000;0;Rust;81.72%
Awesome-Hacking;3251;34;0;0;N/A;N/A
vue-element-admin;2868;311;49;0;Vue;65.53%
DeepSeek-V3;58;17;0;0;Python;73.65%
pytorch;3115;6001;58;0;Python;70.32%
neovim;4040;14624;41;0;Vim Script;87.41%
every-programmer-should-know;2739;99;0;0;N/A;43.14%
storybook;3263;10755;1000;0;TypeScript;84.50%
tailwindcss;2696;2749;268;0;TypeScript;97.91%
Web-Dev-For-Beginners;1565;497;0;0;JavaScript;81.36%
rustdesk;1608;3332;28;0;Rust;98.54%
django;4683;9536;0;0;Python;N/A
nvm;5427;725;68;0;Shell;86.69%
app-ideas;2189;149;0;0;N/A;25.44%
bitcoin;5179;14927;54;0;C++;95.42%
svelte;3016;5474;393;0;JavaScript;90.30%
ui;780;484;37;0;TypeScript;71.88%
animate.css;4882;315;22;0;CSS;96.33%
realworld;3283;433;0;0;TypeScript;91.84%
fastapi;2268;2554;200;0;Python;98.50%
NextChat;715;869;76;0;TypeScript;83.14%
opencv;4601;12724;65;0;C++;76.70%
gin;3903;1046;26;0;Go;71.98%
DeepSeek-R1;33;7;0;0;N/A;38.90%
awesome-mac;3142;946;10;0;JavaScript;75.66%
laravel;5008;1608;182;0;PHP;N/A
mall;2516;1;3;0;Java;96.98%
hugo;4251;2782;315;0;Go;94.11%
FiraCode;3756;136;29;0;Clojure;70.24%
supabase;1960;11170;19;0;TypeScript;92.50%
open-webui;504;1714;92;0;JavaScript;96.23%
models;3305;2337;48;0;Python;85.41%
advanced-java;2331;86;1;0;Java;96.60%
whisper;890;110;12;0;Python;N/A
core;4176;69789;1000;0;Python;94.95%
bun;1410;4709;179;0;Zig;62.64%
spring-boot;4509;42;300;0;Java;98.55%
mermaid;3765;2265;142;0;TypeScript;64.11%
LeetCodeAnimation;2270;63;0;0;Java;68.85%
v2rayN;2034;196;234;0;C#;99.70%
manim;3625;624;13;0;Python;63.22%
llama.cpp;715;4107;1000;0;C++;92.38%
Font-Awesome;4754;209;59;0;JavaScript;79.07%
json-server;4105;121;38;0;JavaScript;47.03%
netdata;4268;9984;108;0;C;98.17%
awesome-interview-questions;3374;176;0;0;N/A;56.45%
awesome-vue;3413;3544;0;0;N/A;84.75%
gpt4all;698;932;37;0;C++;69.54%
awesome-for-beginners;3409;432;0;0;N/A;97.08%
elasticsearch;5493;73567;171;0;Java;89.57%
github-readme-stats;1689;1219;0;0;JavaScript;86.15%
generative-ai-for-beginners;614;315;0;0;Jupyter Notebook;97.12%
ML-For-Beginners;1452;371;0;0;HTML;97.84%
funNLP;2377;14;0;0;Python;61.04%
dify;682;5001;119;0;TypeScript;94.07%
vite;1768;5108;524;0;TypeScript;94.27%
code-server;2187;1517;174;0;TypeScript;96.36%
stable-diffusion;927;5;0;0;Jupyter Notebook;26.94%
Front-End-Checklist;2686;179;1;0;N/A;100.00%
playwright;1926;14058;141;0;TypeScript;95.26%
nest;2940;6818;112;0;TypeScript;99.44%
moby;4418;20733;212;0;Go;86.32%
HowToCook;1820;519;3;0;Dockerfile;44.31%
flask;5436;1590;35;0;Python;99.93%
node;752;141;43;0;Shell;76.33%
system-design-101;522;21;0;0;N/A;30.00%
screenshot-to-code;466;45;0;0;Python;74.86%
reveal.js;5009;405;47;0;JavaScript;68.98%
hoppscotch;2012;1661;64;0;TypeScript;71.69%
cs-video-courses;3046;166;0;0;N/A;98.62%
fzf;4140;563;59;0;Go;91.76%
swift;3409;52329;57;0;C++;56.44%
ComfyUI;767;660;37;0;Python;57.79%
redis;5816;3946;78;0;C;68.61%
devops-exercises;1969;282;0;0;Python;65.22%
syncthing;4106;2608;396;0;Go;93.36%
gpt_academic;705;221;32;0;Python;86.02%
awesome-machine-learning;3875;849;0;0;Python;100.00%
awesome-react;3853;779;0;0;N/A;99.07%
protobuf;3833;6805;180;0;C++;96.84%
grafana;4091;51097;495;0;TypeScript;90.05%
express;5720;410;159;0;JavaScript;97.43%
Best-websites-a-programmer-should-visit;2911;428;0;0;N/A;59.41%
d2l-zh;2740;1019;16;0;Python;N/A
cpython;2934;48438;0;0;Python;89.85%
Chart.js;4359;2983;114;0;JavaScript;93.89%
strapi;3433;8749;443;0;TypeScript;91.49%
webpack;4732;4843;421;0;JavaScript;98.76%
Ventoy;1810;280;102;0;C;66.23%
uptime-kuma;1330;1218;109;0;JavaScript;81.65%
tesseract;3847;1402;33;0;C++;84.78%
33-js-concepts;2363;250;0;0;JavaScript;79.41%
superset;3504;13884;219;0;TypeScript;93.15%
ansible;4736;38718;131;0;Python;98.35%
interviews;2930;42;0;0;Java;43.40%
gpt4free;696;727;249;0;Python;96.51%
javascript-questions;2082;328;0;0;N/A;95.10%
PayloadsAllTheThings;3049;539;4;0;Python;N/A
imgui;3869;382;108;0;C++;84.74%
the-algorithm;698;2;0;0;Scala;73.18%
keras;3619;3928;73;0;Python;98.23%
sherlock;2252;639;1;0;Python;92.83%
sway;1494;3281;162;0;Rust;73.85%
obs-studio;4162;4991;214;0;C;86.72%
resume.github.com;5130;84;0;0;JavaScript;53.78%
n8n;2072;8711;291;0;TypeScript;83.54%
awesome-public-datasets;3747;188;1;0;N/A;40.68%
tabby;2983;1474;195;0;TypeScript;60.89%
awesome-cpp;3873;772;0;0;N/A;40.28%
openai-cookbook;1079;673;0;0;MDX;93.59%
echarts;4343;1353;118;0;TypeScript;89.16%
caddy;3693;2041;123;0;Go;96.76%
socket.io;5462;435;75;0;TypeScript;95.29%
nocode;2572;1;1;0;Dockerfile;14.63%
scikit-learn;5303;12900;45;0;Python;86.27%
redux;3556;1708;78;0;TypeScript;98.25%
SecLists;4752;657;27;0;PHP;99.28%
Java;3143;1846;0;0;Java;99.72%
AppFlowy;1347;3495;98;0;Dart;72.90%
Apollo-11;3978;341;0;0;Assembly;85.04%
awesome-scalability;2614;36;0;0;N/A;N/A
cs-self-learning;1221;269;4;0;HTML;51.58%
atom;4782;3937;538;0;JavaScript;94.37%
lodash;4704;581;2;0;JavaScript;98.42%
architect-awesome;2514;49;0;0;N/A;30.99%
Front-end-Developer-Interview-Questions;4761;484;0;0;Nunjucks;80.68%
design-resources-for-developers;1753;939;0;0;N/A;100.00%
markdown-here;4668;25;14;0;JavaScript;51.12%
awesome-nodejs;3879;414;0;0;N/A;98.04%
jquery;5804;784;10;0;JavaScript;96.63%
awesome-courses;3752;194;0;0;N/A;48.75%
new-pac;3258;0;0;0;Python;75.35%
angular.js;5526;789;0;0;JavaScript;95.67%
annotated_deep_learning_paper_implementations;1642;102;0;0;Python;77.78%
immich;1115;5528;233;0;TypeScript;90.85%
